id;firstname;lastname;address;phone;email
64caa487-cb2d-441a-89cf-6d44b5e464df;"UgTjyM";"X";capacitor hard;(598) 974-0688;Herminio_King0@gmail.com
c5edf11c-954e-4c67-98e2-3216f1bbc922;"Tc";"ZaFFr";Music paradigms;(952) 596-8922;Antonietta45@gmail.com
854c8207-e7ee-4233-ab17-9fecd3e4a825;"FA";"lB";Music leverage Pants;1-635-227-9356;Wilmer44@yahoo.com
df5ded9f-1caf-4f08-91ae-a229010ba7ee;"ZSu";"gC";IB array technologies;1-569-521-9353 x18654;Caitlyn92@yahoo.com
e2c6a652-29c9-430c-acc2-fcbaba61c513;"ligSE";"m";alliance Oregon Ohio;1-636-648-5186 x649;Junior29@gmail.com
b200774d-b1cb-4678-b6d4-2777bcf23379;"fYUY";"l";fresh-thinking Berkshire;990-563-2081;Lola.Ankunding@yahoo.com
ed8cd99b-8e60-4034-ab6d-f2748fcde4d0;"PDhu";"zz";Customer Haven;691.818.6979;Jennie39@hotmail.com
d36e181c-12e6-4b61-a85d-09913e576862;"Z";"dWYfIo";Account RAM Ergonomic;324.849.3458;Marianna_Gutkowski@gmail.com
b3d1de14-7ae8-4c85-b87b-fcee38295801;"UDnIHF";"CSjK";Macao payment Granite;220-488-8589 x7716;Johann.Price@yahoo.com
6a7e936f-ef1f-4e1f-b003-e1c09b6f7fe9;"vlz";"iU ";Quality Plastic pink;229-535-2204 x8740;Mercedes_Anderson@hotmail.com
